transaction_amount,transaction_hour,transaction_type,device_type,location,failed_login_attempts,transactions_last_24h,account_age_days,is_fraud
2346.3404498842956,22,NetBanking,iPhone,Mumbai,9,33,2249,1
15050.607154587606,3,Card,iPhone,Bangalore,0,4,583,0
6583.728467727246,17,Wallet,iPhone,Chennai,8,49,24,1
4564.712768879766,4,UPI,iPhone,Chennai,2,39,873,0
848.1243523117314,15,UPI,iPhone,Mumbai,1,25,2550,0
847.9814595730259,13,Wallet,Android,Delhi,3,5,2384,0
299.1938430434034,18,UPI,Desktop,Mumbai,3,4,1493,0
10056.154322399698,13,NetBanking,Desktop,Delhi,8,29,3221,0
4595.410768136323,8,Wallet,Android,Chennai,3,37,1007,0
6156.250308522952,5,Card,Android,Mumbai,4,8,1935,0
103.99653999569311,16,Wallet,Desktop,Mumbai,5,20,1600,0
17517.78737579156,18,NetBanking,Android,Delhi,3,41,141,0
8932.147716773376,11,Card,iPhone,Chennai,0,6,2036,0
1193.438126244735,3,NetBanking,Android,Chennai,1,36,2802,0
1003.3949437483168,15,UPI,Android,Delhi,2,32,3319,0
1013.0571141612853,10,UPI,Android,Delhi,3,5,1095,0
1813.7686473023857,21,UPI,Android,Delhi,4,40,392,0
3719.6391543042723,3,NetBanking,Desktop,Chennai,9,20,2027,0
2827.6853339016834,16,NetBanking,Desktop,Chennai,9,45,2296,1
1721.1149627697075,7,Wallet,Desktop,Mumbai,2,4,1129,0
4731.854369498993,13,Card,Desktop,Chennai,0,39,2982,0
751.1726436366934,1,Card,iPhone,Bangalore,7,22,1076,0
1727.5775600120114,10,NetBanking,iPhone,Bangalore,7,33,2306,1
2281.386091104235,10,NetBanking,Desktop,Delhi,3,31,1509,0
3044.673439298875,23,UPI,Desktop,Delhi,6,41,406,1
7689.680055154559,21,NetBanking,Desktop,Delhi,3,29,1655,0
1113.6793106434513,23,UPI,Android,Mumbai,2,5,886,0
3610.1457751656385,5,NetBanking,iPhone,Bangalore,6,10,3076,0
4487.5236065488025,20,Card,iPhone,Bangalore,5,11,1588,0
237.81924878204273,20,Wallet,Android,Chennai,0,37,2415,0
4676.66510324805,13,NetBanking,Android,Bangalore,8,22,2055,0
934.8062598870821,9,UPI,Android,Chennai,1,24,1,0
336.3196543965212,7,Wallet,iPhone,Mumbai,2,21,339,0
14868.438967534654,6,UPI,Android,Delhi,4,36,350,0
16853.151712305862,7,UPI,Android,Delhi,2,16,2674,0
8261.657864064384,7,Wallet,Android,Chennai,2,2,2103,0
1816.4392998437913,22,Wallet,Desktop,Hyderabad,7,15,2677,0
513.8865750125312,1,Wallet,Android,Chennai,3,41,796,0
5763.753815493309,15,NetBanking,Desktop,Mumbai,9,49,3342,1
2900.4542129269917,8,Wallet,iPhone,Bangalore,1,26,2947,0
650.7611697722432,12,NetBanking,iPhone,Chennai,4,30,2320,0
3417.7361406707505,22,Card,iPhone,Mumbai,1,2,2905,0
174.96860721739543,11,Card,Desktop,Delhi,9,29,1454,0
12002.11443696512,21,UPI,Android,Hyderabad,7,6,879,0
1497.2888842034304,16,UPI,iPhone,Hyderabad,2,1,377,0
5431.278992824901,1,NetBanking,Android,Chennai,1,40,387,0
1867.7329082881183,12,UPI,Desktop,Bangalore,2,11,2435,0
3670.5544795461433,0,Card,iPhone,Chennai,2,23,3241,0
3956.1189899089877,18,NetBanking,Android,Hyderabad,0,26,1181,0
1021.9429975395287,10,NetBanking,Android,Hyderabad,2,31,424,0
17464.035663681134,4,Wallet,iPhone,Delhi,2,15,787,0
7461.226885690704,0,NetBanking,Android,Bangalore,3,9,2708,0
14025.472096457912,19,UPI,Desktop,Bangalore,7,34,277,1
11260.759987670983,12,Card,iPhone,Hyderabad,8,39,3220,1
4555.272061916375,7,UPI,iPhone,Hyderabad,0,17,2908,0
12747.176896347026,5,Card,iPhone,Chennai,0,35,1839,0
463.2772947655781,16,Wallet,iPhone,Chennai,5,36,3163,0
1090.6734731563372,11,Card,Desktop,Delhi,0,3,2604,0
231.40982843415978,0,Wallet,Desktop,Hyderabad,4,40,1774,0
1967.660434015434,2,UPI,Android,Chennai,0,11,3186,0
2460.651458971093,13,Wallet,Desktop,Delhi,7,28,2043,0
1582.8022160441285,7,NetBanking,Android,Bangalore,4,48,1625,0
8822.78932620467,10,NetBanking,Android,Hyderabad,5,28,3074,0
2206.1349976493507,13,Card,iPhone,Mumbai,3,46,3573,0
1649.014200671246,7,UPI,Android,Hyderabad,7,19,2219,0
3912.03541603873,2,UPI,iPhone,Chennai,8,2,3513,0
759.4907391031443,6,Card,Android,Hyderabad,8,32,1249,1
8102.4179788736565,18,NetBanking,Desktop,Mumbai,0,44,147,0
387.37934405654505,3,Wallet,iPhone,Hyderabad,6,11,1626,0
21670.731697936597,15,Card,Android,Chennai,3,16,1472,0
7397.418881207557,12,Wallet,Desktop,Bangalore,9,11,1454,0
1107.6972025294297,19,Wallet,Desktop,Chennai,7,3,1347,0
27.687101879677375,18,UPI,iPhone,Delhi,6,42,1115,1
8449.48388743063,4,NetBanking,iPhone,Chennai,0,29,14,0
6135.479536935223,22,Wallet,iPhone,Delhi,0,5,1172,0
6528.314543939995,4,NetBanking,Android,Hyderabad,0,28,1827,0
7376.072630217567,19,UPI,iPhone,Delhi,1,31,3543,0
384.64632756898175,23,Card,Desktop,Hyderabad,9,13,409,0
2219.4633620811624,3,Card,Desktop,Delhi,1,25,384,0
615.7505230222482,1,UPI,iPhone,Chennai,8,6,1412,0
9942.647858291113,12,UPI,iPhone,Mumbai,4,3,57,0
