TransactionID,CustomerID,CustomerAge,CustomerGender,Occupation,CityTier,AccountBalance,TransactionAmount,TransactionType,MerchantCategory,TransactionHour,DeviceType,LoginAttempts,FailedTransactions,DaysSinceLastTransaction,AvgMonthlyTransactions,CreditScore,TransactionLocation,IPRiskScore,VPNUsed,MultipleDevicesUsed,IsFraud
TXN_131493,CUST_98829,67,Male,Salaried,Tier-2,238725.62,972.78,UPI,Travel,0,iPhone,1,1,4,43.13,719.0,Home City,1.0,No,No,No
TXN_126518,CUST_54311,72,Female,Self-Employed,Tier-3,327947.4,14730.8,Debit Card,Luxury,8,Tablet,1,1,48,40.03,655.0,Home City,61.24,No,Yes,No
TXN_121417,CUST_22483,19,Female,Business,Tier-1,217429.36,27856.07,RTGS,Travel,10,Android,1,1,37,46.92,630.0,Home City,37.7,No,No,Yes
TXN_127911,CUST_3593,34,Female,Government,Tier-3,178111.94,4440.02,Credit Card,Travel,10,iPhone,1,0,19,25.9,775.0,Different City,40.96,No,No,No
TXN_112516,CUST_24544,69,Male,Retired,Tier-1,170786.19,8481.16,Wallet,Food,8,iPhone,1,1,56,69.87,657.0,Different City,1.0,No,No,No
TXN_119325,CUST_24049,45,Female,Student,Tier-1,72148.44,3902.39,NEFT,Electronics,4,Desktop,0,0,27,9.58,580.0,Home City,36.97,No,No,No
TXN_107497,CUST_24684,63,Female,Salaried,Tier-3,187370.38,16817.7,RTGS,Food,0,iPhone,1,0,55,1.0,731.0,Home City,62.23,No,No,Yes
TXN_131627,CUST_79750,53,Female,Retired,Tier-1,204586.71,14667.77,Debit Card,Healthcare,22,Desktop,1,2,55,21.02,783.0,Home City,35.52,No,No,No
TXN_115857,CUST_35771,55,Male,Salaried,Tier-1,114289.6,1531.58,Credit Card,Retail,3,Desktop,0,1,56,41.85,796.0,Different City,13.4,No,No,No
TXN_127782,CUST_22087,27,Male,Government,tier-1,74937.84,9477.13,Debit Card,Retail,8,Desktop,1,1,9,37.49,706.0,Home City,37.58,No,No,No
TXN_131481,CUST_25101,38,Male,Government,Tier-2,41425.18,47621.43,UPI,Travel,20,Android,3,0,57,46.65,729.0,International,33.52,No,No,No
TXN_139158,CUST_36131,31,Female,Retired,Tier-1,214790.22,4223.78,UPI,Healthcare,7,Tablet,0,0,46,39.78,658.0,Home City,48.79,No,No,No
TXN_103205,CUST_93690,25,Male,Business,Tier-1,70233.77,19849.54,Wallet,Electronics,2,Android,3,2,36,42.81,747.0,Home City,51.54,No,No,Yes
TXN_109845,CUST_60177,43,Male,Salaried,Tier-3,344367.66,8596.48,NEFT,Healthcare,20,iPhone,4,2,21,44.68,623.0,Home City,7.02,No,No,No
TXN_101939,CUST_38079,26,Male,Salaried,Tier-2,235536.75,5878.91,Debit Card,Luxury,15,Tablet,3,0,21,39.58,823.0,Home City,68.29,No,No,No
TXN_101525,CUST_85109,27,Female,Self-Employed,Tier-1,78706.43,7903.08,RTGS,Luxury,12,Desktop,0,1,28,64.37,716.0,Home City,75.34,No,Yes,Yes
TXN_120603,CUST_37630,22,Female,Self-Employed,Tier-1,216574.91,23997.16,RTGS,Utilities,5,Desktop,2,1,19,44.75,828.0,Home City,35.18,No,No,No
TXN_139687,CUST_95087,30,Male,Salaried,Tier-3,180952.72,1601.22,NEFT,Retail,3,Android,1,1,12,62.35,663.0,Different City,69.3,No,Yes,Yes
TXN_104637,CUST_49418,68,Male,Student,Tier-1,49403.19,1678.17,UPI,Utilities,16,Android,1,1,59,46.63,743.0,Home City,18.09,No,No,No
TXN_132604,CUST_33127,19,Female,Government,Tier-2,116663.62,17904.54,Credit Card,Gaming,2,Tablet,1,1,22,36.68,714.0,Home City,29.89,No,No,No
TXN_111504,CUST_40252,71,Female,Student,Tier-2,88535.16,6846.87,Credit Card,Food,8,iPhone,2,1,30,31.34,723.0,International,44.32,No,No,No
TXN_128824,CUST_14428,69,Female,Retired,Tier-1,296208.11,3878.4,Debit Card,Retail,3,iPhone,3,0,8,2.06,660.0,Different City,25.42,Yes,No,No
TXN_108580,CUST_37231,61,Male,Retired,Tier-1,292263.03,12804.91,NEFT,Utilities,23,Desktop,2,0,35,38.96,811.0,Home City,8.47,No,Yes,No
TXN_114999,CUST_61076,73,Female,Salaried,Tier-1,277981.17,15653.39,Wallet,Travel,3,Tablet,2,2,28,31.39,636.0,Home City,24.79,No,Yes,No
TXN_133669,CUST_70919,18,Male,Business,Tier-3,73501.61,4711.07,Wallet,Travel,1,Android,1,1,42,29.12,748.0,Home City,26.28,No,No,No
TXN_139838,CUST_30974,30,Male,Self-Employed,Tier-3,218408.77,12055.53,Debit Card,Travel,16,Tablet,2,0,53,26.33,781.0,Home City,38.61,No,No,Yes
TXN_128723,CUST_1932,37,Female,Retired,Tier-1,121547.23,13852.44,UPI,Travel,2,iPhone,1,1,25,23.59,675.0,Different City,61.16,No,No,Yes
TXN_131202,CUST_76057,24,Male,Retired,Tier-1,18250.73,50889.27,Debit Card,Travel,12,Tablet,1,1,4,29.46,755.0,Different City,40.25,No,No,Yes
TXN_108897,CUST_75350,55,Female,Retired,Tier-1,224651.67,26357.59,RTGS,Luxury,16,Tablet,1,2,49,24.45,774.0,Home City,56.22,No,No,No
TXN_109354,CUST_14785,37,Female,Government,Tier-3,144328.93,9677.7,NEFT,Luxury,18,Desktop,3,0,42,30.54,582.0,Home City,18.57,No,No,No
TXN_128440,CUST_90857,61,Female,Retired,Tier-1,168283.57,13940.01,Wallet,Luxury,8,Desktop,1,2,43,30.48,863.0,Different City,15.76,No,No,No
TXN_118751,CUST_65916,28,Male,Salaried,Tier-2,116237.77,100.0,Credit Card,Food,3,Desktop,1,0,1,29.02,,Different City,35.95,No,No,Yes
