income,credit_limit,txn_frequency,spend
29250.81024658567,17543.120644127273,24,46792.80896484126
49760.206810279364,18498.59071674476,29,44807.380291241185
56881.25097197131,23963.60819031677,15,61290.095564880554
50860.687702321375,16304.715063192298,18,39222.867022895945
43891.64034476764,14582.996442860705,17,39005.80411708238
39092.94944291082,18518.681645274046,19,46174.29678480615
67719.64486170906,19878.240096378093,26,58157.996103263766
45205.323786770525,15096.713525624858,19,32603.542861555587
55553.12372304642,27149.622391362085,17,56390.14933334381
58197.37362686632,20955.234959290716,15,49274.33244342938
31376.2951472271,15946.291299007835,22,40811.1691142685
48479.65325022793,22615.826220865256,18,57598.422074528564
69698.37019641693,24755.171170673453,21,58145.40759866469
54359.25792433659,14524.584014322507,13,39178.96478165266
56685.52602437146,22452.12614089073,26,45063.3477689766
43639.839641604085,17416.84373434202,24,41896.627125559826
66316.16091677966,22392.21311614854,19,62444.26793343021
79279.42578772639,30357.979631651266,22,75726.66022004792
38361.76743225125,16220.728001310203,24,35716.295994162625
61783.35473524103,21361.985434909984,23,56550.857518293094
29355.444644286526,9957.067763764824,20,22244.06824475974
59127.01721680019,29903.071673427825,17,62111.8098152235
56606.10443836154,9442.212353363946,21,42788.97288155639
32837.916732262114,20843.212963599264,16,44389.71819700944
63883.28001850024,25105.76414673135,16,59661.503808911104
35058.552913976244,19576.044105394907,14,45427.876947799865
78992.12215266233,18126.296468090604,23,58330.9804835726
52154.170419040835,19361.192937775293,32,52905.003490598785
47687.69824181354,18456.51840046364,26,51598.41925583435
39990.00696695467,11763.901124408845,18,22422.903058749846
59118.48073490601,7707.731414679165,26,35880.62469656755
55117.27858295411,25650.8420072798,27,65493.323757331505
52135.86355511293,15950.946640974656,17,44937.987155357536
38745.349217719675,19873.98730112482,27,40620.7784017942
45982.507925058926,13706.986836387248,13,38242.31799428227
38933.94408263685,18440.12388923497,18,45309.70585765428
24277.342138448705,24023.841415600622,18,45792.58356801693
47903.3332045437,17383.064705898425,23,49838.42824333461
33294.80933910598,26397.933088548245,19,49336.172870734954
80277.62394931864,20687.16035718024,17,57797.774096864356
78155.98935413177,20146.184639576753,23,64049.31556043365
55295.1072545036,21569.602635965173,18,50089.102093536014
22546.520439486347,21302.342181699856,16,39874.273935016776
56866.62756693034,22926.463882417997,15,49627.348343785205
46727.2806058126,19081.479984462127,10,41753.51786190608
66718.63160451321,15545.276313346296,25,46424.43835504816
65283.63412971106,26401.2750064583,22,63264.396205578225
38648.433808516274,24956.687645179867,19,55128.733874630925
44521.74355151351,21810.50708388587,17,56114.528297380006
43423.21394671854,24756.225030214693,19,54478.01463230744
43741.898245473836,13936.347951776843,25,42641.39988704173
26240.553031761974,14945.554183626653,24,33889.86304640046
55735.78700571856,22756.102747147994,20,54976.46827120561
51220.354387431435,13458.575627364778,28,38789.34889925088
45102.15941396437,28999.701164507896,27,60893.57477025986
54117.85136359154,16580.396260332323,15,44070.60537067052
54895.82993032662,12610.481810308504,17,38034.738935819594
67485.8027977326,16302.887299058879,33,49757.317609707075
63436.92416267159,15482.18518180804,22,39792.559963963526
65478.113236067926,20565.4683457812,8,53839.66681350165
36531.61572719476,21478.850812161916,28,47338.73635573686
33184.499830787114,15435.243003814674,21,36059.41687989627
64269.68131080178,20058.7089320033,14,52737.11920896133
75622.25870065155,15986.991832430318,16,53624.199258879205
62726.25924575957,25112.723255565357,19,55651.62576905566
54947.87705732265,14674.020187139822,18,41000.164524851665
50103.397350687104,27462.529314303287,19,45991.18549709944
92910.12894436094,19662.525047814568,21,63952.68945885088
62493.838904261334,23434.75979317456,19,65261.4316663589
47001.50795908284,14056.720066463202,22,44051.72831721487
79757.4588390821,18828.366669834675,11,49247.34725623226
75832.15739911662,29788.683093737334,16,68233.55850059884
28505.28653919435,17334.565853034874,17,38701.84898935693
31587.267623916294,21871.633778414398,19,32862.51139193245
46907.30593597144,17979.05247457487,19,42249.53061217056
69136.80971030984,17677.225717136298,23,51669.64554528658
41304.28627223818,26039.206969361476,18,52056.320213539286
34702.20402635906,26997.755323836413,26,61724.346364775156
62210.7898006906,10640.406686045846,23,34452.346538149475
21054.775651002397,17270.168722629533,31,34973.86447573126
44730.98443707597,14845.77280927278,26,49591.75423646343
33892.679454946454,21633.60031125993,21,54915.82224670287
49876.516428530624,22223.023707586217,21,61729.415735079754
35784.53036707296,16198.872212147908,16,34537.560535759265
47723.94807755749,17230.965235718104,32,45488.957576480636
56322.62036115995,20877.096530878705,20,43854.42596664194
51946.501391495374,18659.45249566202,18,43563.00243028604
41941.14425373495,24689.40340871941,25,57330.84536930964
44871.82640118211,16337.644123244389,14,38773.0429911514
83818.27190260513,22699.09254452733,17,68753.71867511049
63242.52883772935,18936.11218301201,23,52243.515655897005
46521.61189735467,25427.62080838613,16,55055.62830828531
52674.8492449411,21725.784779410522,20,47979.74076623623
56772.595574192266,13064.799044964886,15,43419.65507429145
38571.18527209798,14939.106142727986,20,33295.482984939044
50032.373528950426,14965.512724831247,23,44307.61872335375
33899.679784912616,18796.754562095575,19,42380.57313598253
35094.339749845785,18378.914539498932,18,43807.22539715943
63131.57074090111,20566.218274775936,18,60644.185981100214
65083.73086543864,27152.925532827725,18,70338.70761418882
67300.33512997156,22969.464775125984,26,59830.125508138255
48926.6619178317,18996.789083668307,24,50047.70651995928
42599.55421760049,16823.361484962003,22,48749.21483099631
50159.45335767765,24979.19981409357,22,52067.56912021621
23142.440026897253,23366.950732428577,14,47863.22136980068
70818.28763445982,29351.75274908593,10,72250.20640855131
9364.526656554277,24014.976170655602,20,47116.99128703044
64595.97315703693,19274.848571446448,31,59912.869135473455
35158.07690919154,24717.26435520053,23,54451.1326851472
49878.59569323031,28971.072342814947,15,59080.39932733146
37233.175069229255,17364.956992512987,17,33755.897002123995
37462.0686548181,16200.803318884646,18,47088.3321471581
13393.163930470284,14719.172968892844,24,35564.45591951164
30952.88451105979,19335.209822647295,13,43084.31588210431
63656.13146186248,17420.547000394814,14,46041.973808083996
31628.15202060032,19571.902217791077,22,47574.57565903459
30991.193134915608,18881.864012477265,14,39002.563745517466
48379.12424053543,22666.255207170307,23,51156.652718095465
15074.287637334135,24592.309825748896,18,46899.51911203911
44738.26056263654,21658.348222232533,28,63736.106630976086
53877.10138783594,21044.6988790153,18,41676.7933363011
55564.77009739205,20890.635368875257,23,52324.40420441684
34438.888120710675,15691.74213932889,25,37789.210117730174
68118.71100362517,23099.1913592914,22,57181.5498438643
65318.75965088562,21030.409782266586,13,58503.30785611921
24085.59271109607,8571.067205871368,20,31573.384451137434
60716.236188585885,21721.773093541968,18,58977.08609115931
52273.80266493237,19383.3181621117,16,44195.13401212067
57649.009994060965,22743.56263143347,20,58649.8547587583
40756.373467100966,22815.928083569088,27,55093.28778831043
30605.975449209098,26475.76880082918,20,51564.75518699556
47769.33514293816,16470.51021329467,18,42730.092622513235
55673.627864890695,12313.48415217695,25,47490.354002235414
55948.31596506183,27025.391923856892,8,49234.49688665969
55138.12992000651,25042.011380679793,26,68325.71697702083
33868.66439850328,16653.26644122219,22,36642.70213639876
70558.82327569774,17694.424101233566,15,50202.21875886791
67891.1369724084,20482.024844605367,19,54572.07487948726
53699.58572724063,20209.221471282544,17,47178.80717742162
35704.406935606654,15567.624527287819,5,31299.26041213366
53938.27971345222,23759.775317484422,19,56046.746885259134
43582.47311877391,20982.18439410973,32,42802.5322048794
44716.04174791626,13007.93720076458,24,36341.91078120374
60058.44521812341,20331.957017928326,16,55558.32782722051
43713.38754410381,23127.386314747855,21,52062.795828190174
71211.68173589629,17241.75483882051,23,50028.40556421886
59457.75365707786,18830.74097035436,21,51706.64196146488
65117.67049489364,20718.460751953207,12,59633.02615803855
36552.73679802053,10457.863300271534,15,35125.431815325814
40741.77391110045,19017.630632977725,20,37356.29926926935
31344.743958475497,21654.29043453402,16,49349.70158977939
69803.7916776666,20537.691329099554,23,56991.691837547725
93190.75475002054,26758.101310266444,18,67338.85040693109
57807.058713398466,23594.61115354294,18,55385.83513141265
53885.8403706168,17941.292414758427,19,46175.012159375976
42845.09556664307,19551.21166605999,13,41270.27487033369
74251.95515088674,21753.51574155869,13,62685.73387016254
49328.24853632034,6696.868041715981,19,36931.74622601476
40283.69511752685,12071.92343512222,24,32004.35638721374
27854.115604545867,19782.201889809112,19,37404.70988446546
34328.58077057318,29016.158652161437,15,56929.58276167747
51053.73048092527,18965.6996686729,18,52602.106935790966
22504.46248472446,25086.830342477933,17,37810.50926123824
31604.9007744933,12843.52327576655,31,35270.91651498149
74948.89404598,17623.857626660818,20,56427.33441755504
62440.8959677028,16287.673284012682,27,46431.25566885164
45121.68623197535,21443.928540023106,23,52887.98199940642
64145.58713003025,24378.092719645618,16,58615.84930928718
38524.37375155168,18912.784655751246,17,47005.89651166904
61692.31706703399,18086.8645520033,27,57167.94132273395
44556.15598166575,26833.876924346063,16,58215.7437344156
79539.53382463174,30927.859649451777,22,78807.80522923813
32935.64917900901,17844.832750053625,25,32406.366392091284
72954.65040146295,19548.664023047917,14,48674.4767508695
48080.75172951015,21325.364522490767,16,49304.3474839988
21825.97716969025,21983.852692705095,26,38996.65287642247
54639.497626208984,21169.267862198183,28,51603.53666383291
60483.59546479059,9902.78700462583,28,40311.245076153995
72488.8234851435,22124.38026487596,20,58672.89752244356
61420.81968369902,29709.372298920374,19,69562.55951610464
36047.80856892738,11884.61249808108,24,38722.72471873823
65573.77643352818,11996.053141031887,24,45222.10627641991
50810.41093795306,13575.82094045218,15,38873.45863977061
26281.70082258908,23145.829459718218,21,44070.0255370296
48733.97615534708,11037.06734956621,28,43775.85371962403
32349.22857099611,25722.96575714801,27,54046.9674663398
47904.02905983334,14693.553225438312,21,31640.072649034722
60927.33632171698,24101.603779393703,17,62335.89458208157
33101.92983139402,17090.89140608862,16,41671.28559752459
54413.540647707705,16342.622849982006,23,45954.96951986167
66249.6194690949,22474.2783692254,19,59110.511190769306
40625.84762446366,22899.186516915317,19,46185.60649360617
45736.12142578359,16165.357193508458,25,40684.19081707554
66026.11104963534,21307.659579535437,19,53002.9944745144
66709.73832277555,23309.233062211042,16,65400.6043304403
32622.043693853633,10620.9845938229,24,28167.440173349492
34390.367234174824,19653.775108003567,13,37556.24337883023
61854.56230809276,19563.6687860407,20,53958.44968663199
46533.91863485554,10801.932684197733,18,25995.089295876987
47673.074615621925,19961.272052304706,20,46406.71908462297
23638.258576350858,19716.53597690185,15,42886.13466652446
43080.174823042675,24130.448228762394,21,52057.186315092724
47548.267253361366,22334.753273384606,19,48248.623520433524
60846.141525930434,27032.316860665058,21,56212.08050527453
44411.0770553745,21861.891611986528,19,46016.94428959921
60891.00045685221,15120.512083681348,16,44307.41596064347
47415.2806212542,17740.60395103854,18,43980.38761697749
68837.01764799419,25007.677137670144,13,65716.22503767516
49784.225610146495,24098.691101320226,24,54099.33671911078
42265.77365504736,23682.996166751185,21,41314.17266574292
39033.60826928377,24189.92995716154,22,57432.244451706305
34439.1316718279,21569.643685538525,17,54002.01130743869
54705.40153238918,20760.443783272858,27,44287.85894943298
79401.31171202814,19213.511065430226,17,59479.06232363991
61785.04419737117,25180.310306025403,15,68203.76188222911
56190.43174717705,21612.825712122405,24,51135.97416276647
31517.91463837385,9937.0029815936,20,30478.05102994233
32287.046190458917,21911.413943039173,21,49174.79780133025
64256.346419015186,24550.069854360474,20,58853.33535041747
56915.08338988434,15669.613726689106,28,54528.62783391024
